,Survived,Sex,Age,Fare,Embarked_0,Embarked_1,Embarked_2,Pclass_1,Pclass_2,Pclass_3,FamilySize
0,0,1,22.0,7.25,0,0,1,0,0,1,2
1,1,0,38.0,71.2833,1,0,0,1,0,0,2
2,1,0,26.0,7.925,0,0,1,0,0,1,1
3,1,0,35.0,53.1,0,0,1,1,0,0,2
4,0,1,35.0,8.05,0,0,1,0,0,1,1
5,0,1,29.6991176471,8.4583,0,1,0,0,0,1,1
6,0,1,54.0,51.8625,0,0,1,1,0,0,1
7,0,1,2.0,21.075,0,0,1,0,0,1,5
8,1,0,27.0,11.1333,0,0,1,0,0,1,3
9,1,0,14.0,30.0708,1,0,0,0,1,0,2
10,1,0,4.0,16.7,0,0,1,0,0,1,3
11,1,0,58.0,26.55,0,0,1,1,0,0,1
12,0,1,20.0,8.05,0,0,1,0,0,1,1
13,0,1,39.0,31.275,0,0,1,0,0,1,7
14,0,0,14.0,7.8542,0,0,1,0,0,1,1
15,1,0,55.0,16.0,0,0,1,0,1,0,1
16,0,1,2.0,29.125,0,1,0,0,0,1,6
17,1,1,29.6991176471,13.0,0,0,1,0,1,0,1
18,0,0,31.0,18.0,0,0,1,0,0,1,2
19,1,0,29.6991176471,7.225,1,0,0,0,0,1,1
20,0,1,35.0,26.0,0,0,1,0,1,0,1
21,1,1,34.0,13.0,0,0,1,0,1,0,1
22,1,0,15.0,8.0292,0,1,0,0,0,1,1
23,1,1,28.0,35.5,0,0,1,1,0,0,1
24,0,0,8.0,21.075,0,0,1,0,0,1,5
25,1,0,38.0,31.3875,0,0,1,0,0,1,7
26,0,1,29.6991176471,7.225,1,0,0,0,0,1,1
27,0,1,19.0,263.0,0,0,1,1,0,0,6
28,1,0,29.6991176471,7.8792,0,1,0,0,0,1,1
29,0,1,29.6991176471,7.8958,0,0,1,0,0,1,1
30,0,1,40.0,27.7208,1,0,0,1,0,0,1
31,1,0,29.6991176471,146.5208,1,0,0,1,0,0,2
32,1,0,29.6991176471,7.75,0,1,0,0,0,1,1
33,0,1,66.0,10.5,0,0,1,0,1,0,1
34,0,1,28.0,82.1708,1,0,0,1,0,0,2
35,0,1,42.0,52.0,0,0,1,1,0,0,2
36,1,1,29.6991176471,7.2292,1,0,0,0,0,1,1
37,0,1,21.0,8.05,0,0,1,0,0,1,1
38,0,0,18.0,18.0,0,0,1,0,0,1,3
39,1,0,14.0,11.2417,1,0,0,0,0,1,2
40,0,0,40.0,9.475,0,0,1,0,0,1,2
41,0,0,27.0,21.0,0,0,1,0,1,0,2
42,0,1,29.6991176471,7.8958,1,0,0,0,0,1,1
43,1,0,3.0,41.5792,1,0,0,0,1,0,4
44,1,0,19.0,7.8792,0,1,0,0,0,1,1
45,0,1,29.6991176471,8.05,0,0,1,0,0,1,1
46,0,1,29.6991176471,15.5,0,1,0,0,0,1,2
47,1,0,29.6991176471,7.75,0,1,0,0,0,1,1
48,0,1,29.6991176471,21.6792,1,0,0,0,0,1,3
49,0,0,18.0,17.8,0,0,1,0,0,1,2
50,0,1,7.0,39.6875,0,0,1,0,0,1,6
51,0,1,21.0,7.8,0,0,1,0,0,1,1
52,1,0,49.0,76.7292,1,0,0,1,0,0,2
53,1,0,29.0,26.0,0,0,1,0,1,0,2
54,0,1,65.0,61.9792,1,0,0,1,0,0,2
55,1,1,29.6991176471,35.5,0,0,1,1,0,0,1
56,1,0,21.0,10.5,0,0,1,0,1,0,1
57,0,1,28.5,7.2292,1,0,0,0,0,1,1
58,1,0,5.0,27.75,0,0,1,0,1,0,4
59,0,1,11.0,46.9,0,0,1,0,0,1,8
60,0,1,22.0,7.2292,1,0,0,0,0,1,1
61,1,0,38.0,80.0,0,0,1,1,0,0,1
62,0,1,45.0,83.475,0,0,1,1,0,0,2
63,0,1,4.0,27.9,0,0,1,0,0,1,6
64,0,1,29.6991176471,27.7208,1,0,0,1,0,0,1
65,1,1,29.6991176471,15.2458,1,0,0,0,0,1,3
66,1,0,29.0,10.5,0,0,1,0,1,0,1
67,0,1,19.0,8.1583,0,0,1,0,0,1,1
68,1,0,17.0,7.925,0,0,1,0,0,1,7
69,0,1,26.0,8.6625,0,0,1,0,0,1,3
70,0,1,32.0,10.5,0,0,1,0,1,0,1
71,0,0,16.0,46.9,0,0,1,0,0,1,8
72,0,1,21.0,73.5,0,0,1,0,1,0,1
73,0,1,26.0,14.4542,1,0,0,0,0,1,2
74,1,1,32.0,56.4958,0,0,1,0,0,1,1
75,0,1,25.0,7.65,0,0,1,0,0,1,1
76,0,1,29.6991176471,7.8958,0,0,1,0,0,1,1
77,0,1,29.6991176471,8.05,0,0,1,0,0,1,1
78,1,1,0.83,29.0,0,0,1,0,1,0,3
79,1,0,30.0,12.475,0,0,1,0,0,1,1
80,0,1,22.0,9.0,0,0,1,0,0,1,1
81,1,1,29.0,9.5,0,0,1,0,0,1,1
82,1,0,29.6991176471,7.7875,0,1,0,0,0,1,1
83,0,1,28.0,47.1,0,0,1,1,0,0,1
84,1,0,17.0,10.5,0,0,1,0,1,0,1
85,1,0,33.0,15.85,0,0,1,0,0,1,4
86,0,1,16.0,34.375,0,0,1,0,0,1,5
87,0,1,29.6991176471,8.05,0,0,1,0,0,1,1
88,1,0,23.0,263.0,0,0,1,1,0,0,6
89,0,1,24.0,8.05,0,0,1,0,0,1,1
90,0,1,29.0,8.05,0,0,1,0,0,1,1
91,0,1,20.0,7.8542,0,0,1,0,0,1,1
92,0,1,46.0,61.175,0,0,1,1,0,0,2
93,0,1,26.0,20.575,0,0,1,0,0,1,4
94,0,1,59.0,7.25,0,0,1,0,0,1,1
95,0,1,29.6991176471,8.05,0,0,1,0,0,1,1
96,0,1,71.0,34.6542,1,0,0,1,0,0,1
97,1,1,23.0,63.3583,1,0,0,1,0,0,2
98,1,0,34.0,23.0,0,0,1,0,1,0,2
99,0,1,34.0,26.0,0,0,1,0,1,0,2
100,0,0,28.0,7.8958,0,0,1,0,0,1,1
101,0,1,29.6991176471,7.8958,0,0,1,0,0,1,1
102,0,1,21.0,77.2875,0,0,1,1,0,0,2
103,0,1,33.0,8.6542,0,0,1,0,0,1,1
104,0,1,37.0,7.925,0,0,1,0,0,1,3
105,0,1,28.0,7.8958,0,0,1,0,0,1,1
106,1,0,21.0,7.65,0,0,1,0,0,1,1
107,1,1,29.6991176471,7.775,0,0,1,0,0,1,1
108,0,1,38.0,7.8958,0,0,1,0,0,1,1
109,1,0,29.6991176471,24.15,0,1,0,0,0,1,2
110,0,1,47.0,52.0,0,0,1,1,0,0,1
111,0,0,14.5,14.4542,1,0,0,0,0,1,2
